source,target,weight,hebert_score,alephbert_score,is_decadal_anchor,skip,start
word:אייר,verse:Isaiah 42:18,0.6387213617563248,0.27744248509407043,1.000000238418579,false,-50,619764
word:אייר,verse:Isaiah 42:13,0.6386919915676117,0.2773837447166443,1.000000238418579,false,8,619480
word:אייר,verse:Judges 16:24,0.6386917531490326,0.2773832678794861,1.000000238418579,false,-702,373694
word:אייר,verse:Numbers 42:1,0.6386767327785492,0.2773532271385193,1.000000238418579,false,-228,229472
word:אייר,verse:II Samuel 22:4,0.638620913028717,0.277241587638855,1.000000238418579,false,954,473184
word:אייר,verse:Psalms 26:1,0.6386147737503052,0.27722930908203125,1.000000238418579,false,-737,873277
word:אייר,verse:Proverbs 6:22,0.638610914349556,0.27722159028053284,1.000000238418579,false,14,945630
word:אייר,verse:Numbers 51:81,0.6385131180286407,0.2770259976387024,1.000000238418579,false,14,214060
word:אייר,verse:II Kings 22:15,0.638260155916214,0.2765200734138489,1.000000238418579,false,-109,570354
word:אייר,verse:Isaiah 30:9,0.6381785571575165,0.27635687589645386,1.000000238418579,false,96,605376
word:אייר,verse:Deuteronomy 23:71,0.6381601244211197,0.2763200104236603,1.000000238418579,false,-361,301197
word:אייר,verse:Exodus 81:52,0.6381450742483139,0.2762899100780487,1.000000238418579,false,267,105465
word:אייר,verse:Numbers 22:73,0.6380947530269623,0.27618926763534546,1.000000238418579,false,-164,227388
word:אייר,verse:Job 42:16,0.6380559056997299,0.27611157298088074,1.000000238418579,false,53,999898
word:אייר,verse:Exodus 91:3,0.6380070149898529,0.2760137915611267,1.000000238418579,false,-9,105773
word:אייר,verse:I Samuel 18:18,0.637784406542778,0.27556857466697693,1.000000238418579,false,2,414130
word:אייר,verse:Leviticus 81:11,0.6377199590206146,0.27543967962265015,1.000000238418579,false,803,169433
word:אייר,verse:Ezekiel 20:3,0.6376148611307144,0.27522948384284973,1.000000238418579,false,868,755160
word:אייר,verse:II Samuel 22:6,0.6376026272773743,0.27520501613616943,1.000000238418579,false,-29,473234
word:אייר,verse:I Samuel 10:5,0.6375827789306641,0.275165319442749,1.000000238418579,false,18,397278
word:אייר,verse:Genesis 72:91,0.6375468373298645,0.2750934362411499,1.000000238418579,false,-798,37040
word:אייר,verse:Amos 3:4,0.6375403553247452,0.27508047223091125,1.000000238418579,false,20,820120
word:אייר,verse:Leviticus 1:2,0.6374994069337845,0.27499857544898987,1.000000238418579,false,8,154248
word:אייר,verse:Exodus 4:2,0.6374519169330597,0.2749035954475403,1.000000238418579,true,52,82940
word:אייר,verse:Genesis 93:3,0.6374481320381165,0.2748960256576538,1.000000238418579,false,-22,57660
word:אייר,verse:Isaiah 23:9,0.6373758465051651,0.2747514545917511,1.000000238418579,false,6,598470
word:אייר,verse:I Chronicles 23:19,0.6373336315155029,0.27466702461242676,1.000000238418579,false,-47,1137366
word:אייר,verse:Judges 18:28,0.6373259425163269,0.2746516466140747,1.000000238418579,false,-255,376964
word:אייר,verse:Jeremiah 43:1,0.6373183280229568,0.2746364176273346,1.000000238418579,false,215,711005
word:אייר,verse:Numbers 12:31,0.6372727751731873,0.2745453119277954,1.000000238418579,false,287,224147
word:אייר,verse:II Chronicles 31:13,0.6372267752885818,0.2744533121585846,1.000000238418579,false,82,1192116
word:אייר,verse:Jeremiah 31:32,0.6372120678424835,0.27442389726638794,1.000000238418579,false,16,691168
word:אייר,verse:Psalms 51:5,0.6370114982128143,0.27402275800704956,1.000000238418579,false,-4,887676
word:אייר,verse:Numbers 52:61,0.6369920372962952,0.27398383617401123,1.000000238418579,false,-791,230940
word:אייר,verse:Genesis 93:7,0.6369282901287079,0.27385634183883667,1.000000238418579,false,-10,57924
word:אייר,verse:Psalms 94:1,0.6368609517812729,0.2737216651439667,1.000000238418579,false,-2,912188
word:אייר,verse:Isaiah 65:24,0.6368483901023865,0.27369654178619385,1.000000238418579,false,47,642584
word:אייר,verse:II Kings 14:13,0.6367064416408539,0.27341264486312866,1.000000238418579,false,-61,554121
word:אייר,verse:Exodus 3:22,0.6366585046052933,0.27331677079200745,1.000000238418579,false,-4,124136
word:אייר,verse:Numbers 22:83,0.6366022229194641,0.2732042074203491,1.000000238418579,false,22,227458
word:אייר,verse:Genesis 4:31,0.6365352272987366,0.27307021617889404,1.000000238418579,false,-108,59468
word:אייר,verse:Psalms 50:2,0.6364143043756485,0.2728283703327179,1.000000238418579,false,8,886920
word:אייר,verse:II Samuel 14:31,0.6363968551158905,0.2727934718132019,1.000000238418579,false,589,458242
word:אייר,verse:Genesis 22:41,0.6363612711429596,0.2727223038673401,1.000000238418579,false,5,27845
word:אייר,verse:Jeremiah 41:9,0.6363442242145538,0.27268821001052856,1.000000238418579,true,-4,708608
word:אייר,verse:Jeremiah 4:1,0.6362374424934387,0.27247464656829834,1.000000238418579,false,204,648924
word:אייר,verse:Genesis 22:91,0.636206641793251,0.272413045167923,1.000000238418579,false,-8,28096
word:אייר,verse:Zechariah 4:10,0.6361845433712006,0.272368848323822,1.000000238418579,false,58,849004
word:אייר,verse:Isaiah 41:22,0.6361709237098694,0.27234160900115967,1.000000238418579,false,-8,618528
word:אייר,verse:Numbers 12:42,0.6360839009284973,0.2721675634384155,1.000000238418579,false,-23,224610
word:אייר,verse:Ezekiel 2:8,0.635969877243042,0.2719395160675049,1.000000238418579,false,10,731840
word:אייר,verse:II Chronicles 35:27,0.6359407752752304,0.2718813121318817,1.000000238418579,false,-12,1201112
word:אייר,verse:Psalms 44:10,0.6358787566423416,0.2717572748661041,1.000000238418579,false,-73,883945
word:אייר,verse:II Kings 15:28,0.6358471363782883,0.27169403433799744,1.000000238418579,false,-985,556769
word:אייר,verse:I Chronicles 27:9,0.6358320415019989,0.2716638445854187,1.000000238418579,false,18,1142730
word:אייר,verse:Genesis 73:5,0.6357145756483078,0.2714289128780365,1.000000238418579,false,-28,54316
word:אייר,verse:Leviticus 22:3,0.6356853395700455,0.27137044072151184,1.000000238418579,false,-7,174632
word:אייר,verse:I Kings 16:27,0.6356704235076904,0.27134060859680176,1.000000238418579,false,-161,514916
word:אייר,verse:Isaiah 44:17,0.6356675028800964,0.27133476734161377,1.000000238418579,false,-3,622337
word:אייר,verse:Isaiah 43:7,0.6356649994850159,0.27132976055145264,1.000000238418579,false,2,620452
word:אייר,verse:Isaiah 31:4,0.635612741112709,0.271225243806839,1.000000238418579,false,7,607054
word:אייר,verse:Jeremiah 26:22,0.6355410367250443,0.2710818350315094,1.000000238418579,false,-14,683000
word:אייר,verse:Jeremiah 44:11,0.6355312466621399,0.2710622549057007,1.000000238418579,false,5,712710
